,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
123,4,0.0,0.0,29.64,1.0,46.0,53.0,4.0
124,0,0.0,0.0,29.83,4.0,44.0,34.0,1.0
125,1,0.0,0.0,29.53,0.0,34.0,26.0,5.0
126,4,0.0,0.0,29.59,1.0,24.0,24.0,3.0
127,5,0.0,0.0,29.51,4.0,17.0,46.0,0.0
128,4,0.0,0.0,31.21,5.0,3.0,44.0,5.0
129,14,0.0,0.0,32.96,4.0,0.0,34.0,49.0
130,36,0.0,0.0,34.41,14.0,1.0,24.0,66.0
131,61,0.0,0.0,35.6,36.0,4.0,17.0,66.0
132,68,0.0,0.0,37.57,61.0,0.0,3.0,92.0
133,113,0.0,0.0,37.67,68.0,1.0,0.0,73.0
134,107,0.0,0.0,38.96,113.0,4.0,1.0,92.0
135,64,0.0,0.0,39.4,107.0,5.0,4.0,53.0
136,61,0.0,0.0,38.44,64.0,4.0,0.0,34.0
137,28,0.0,0.0,37.8,61.0,14.0,1.0,26.0
138,55,0.0,0.0,36.01,28.0,36.0,4.0,24.0
139,79,0.0,0.0,33.35,55.0,61.0,5.0,46.0
140,57,0.0,0.0,32.26,79.0,68.0,4.0,44.0
141,64,0.0,0.0,31.35,57.0,113.0,14.0,34.0
142,56,0.0,0.0,30.22,64.0,107.0,36.0,24.0
143,23,0.0,0.0,29.96,56.0,64.0,61.0,17.0
144,9,0.0,0.0,29.59,23.0,61.0,68.0,3.0
145,6,0.0,0.0,29.43,9.0,28.0,113.0,0.0
146,5,0.0,0.0,29.49,6.0,55.0,107.0,1.0
147,1,0.0,0.0,29.26,5.0,79.0,64.0,4.0
148,1,0.0,0.0,29.2,1.0,57.0,61.0,0.0
149,2,0.0,0.0,29.19,1.0,64.0,28.0,1.0
150,2,0.0,0.0,29.14,2.0,56.0,55.0,4.0
151,2,0.0,0.0,29.72,2.0,23.0,79.0,5.0
152,4,0.0,0.0,30.69,2.0,9.0,57.0,4.0
153,2,0.0,0.0,28.98,4.0,6.0,64.0,14.0
154,5,0.0,0.0,28.78,2.0,5.0,56.0,36.0
155,8,0.0,0.0,28.69,5.0,1.0,23.0,61.0
156,12,0.0,0.0,28.92,8.0,1.0,9.0,68.0
157,10,0.0,0.0,28.78,12.0,2.0,6.0,113.0
158,24,0.0,0.0,28.6,10.0,2.0,5.0,107.0
159,31,0.0,0.0,26.96,24.0,2.0,1.0,64.0
160,21,0.0,0.0,30.23,31.0,4.0,1.0,61.0
161,28,0.0,0.0,30.3,21.0,2.0,2.0,28.0
162,58,0.0,0.0,29.69,28.0,5.0,2.0,55.0
163,79,0.0,0.0,29.33,58.0,8.0,2.0,79.0
164,77,0.0,0.0,28.69,79.0,12.0,4.0,57.0
165,42,0.0,0.0,28.41,77.0,10.0,2.0,64.0
166,64,0.0,0.0,28.74,42.0,24.0,5.0,56.0
167,46,0.0,0.0,28.91,64.0,31.0,8.0,23.0
168,10,0.0,0.0,28.59,46.0,21.0,12.0,9.0
169,5,0.0,0.0,28.38,10.0,28.0,10.0,6.0
170,1,0.0,0.0,28.2,5.0,58.0,24.0,5.0
171,0,0.0,0.0,27.87,1.0,79.0,31.0,1.0
172,2,0.0,0.0,27.66,0.0,77.0,21.0,1.0
173,3,0.0,0.0,27.59,2.0,42.0,28.0,2.0
174,4,0.0,0.0,27.44,3.0,64.0,58.0,2.0
175,5,0.0,0.0,26.94,4.0,46.0,79.0,2.0
176,21,0.0,0.0,27.77,5.0,10.0,77.0,4.0
177,53,0.0,0.0,29.51,21.0,5.0,42.0,2.0
178,97,0.0,0.0,30.08,53.0,1.0,64.0,5.0
179,95,0.0,0.0,31.71,97.0,0.0,46.0,8.0
180,68,0.0,0.0,32.1,95.0,2.0,10.0,12.0
181,63,0.0,0.0,34.63,68.0,3.0,5.0,10.0
182,30,0.0,0.0,34.09,63.0,4.0,1.0,24.0
183,14,0.0,0.0,35.69,30.0,5.0,0.0,31.0
184,15,0.0,0.0,33.28,14.0,21.0,2.0,21.0
185,14,0.0,0.0,30.42,15.0,53.0,3.0,28.0
186,22,0.0,0.0,30.68,14.0,97.0,4.0,58.0
187,16,0.0,0.0,28.92,22.0,95.0,5.0,79.0
188,10,0.0,0.0,28.8,16.0,68.0,21.0,77.0
189,7,0.0,0.0,28.46,10.0,63.0,53.0,42.0
190,8,0.0,0.0,28.03,7.0,30.0,97.0,64.0
191,11,0.0,0.0,27.57,8.0,14.0,95.0,46.0
192,0,0.0,0.0,27.18,11.0,15.0,68.0,10.0
193,2,0.0,0.0,27.22,0.0,14.0,63.0,5.0
194,0,0.0,0.0,26.72,2.0,22.0,30.0,1.0
195,0,0.0,0.0,26.48,0.0,16.0,14.0,0.0
196,0,0.0,0.0,26.31,0.0,10.0,15.0,2.0
197,14,0.0,0.0,26.1,0.0,7.0,14.0,3.0
198,5,0.0,0.0,26.08,14.0,8.0,22.0,4.0
199,4,0.0,0.0,26.15,5.0,11.0,16.0,5.0
200,22,0.0,0.0,28.6,4.0,0.0,10.0,21.0
201,33,0.0,0.0,31.58,22.0,2.0,7.0,53.0
202,93,0.0,0.0,32.99,33.0,0.0,8.0,97.0
203,72,0.0,0.0,33.83,93.0,0.0,11.0,95.0
204,63,0.0,0.0,35.11,72.0,0.0,0.0,68.0
205,47,0.0,0.0,35.49,63.0,14.0,2.0,63.0
206,28,0.0,0.0,37.03,47.0,5.0,0.0,30.0
207,25,0.0,0.0,36.91,28.0,4.0,0.0,14.0
208,8,0.0,0.0,36.92,25.0,22.0,0.0,15.0
209,16,0.0,0.0,35.57,8.0,33.0,14.0,14.0
210,14,0.0,0.0,35.21,16.0,93.0,5.0,22.0
211,27,0.0,0.0,33.03,14.0,72.0,4.0,16.0
212,14,0.0,0.0,32.01,27.0,63.0,22.0,10.0
213,7,0.0,0.0,31.35,14.0,47.0,33.0,7.0
214,10,0.0,0.0,31.13,7.0,28.0,93.0,8.0
215,7,0.0,0.0,30.23,10.0,25.0,72.0,11.0
216,4,0.0,0.0,29.06,7.0,8.0,63.0,0.0
217,2,0.0,0.0,28.79,4.0,16.0,47.0,2.0
218,0,0.0,0.0,29.39,2.0,14.0,28.0,0.0
219,0,0.0,0.0,29.1,0.0,27.0,25.0,0.0
220,1,0.0,0.0,28.78,0.0,14.0,8.0,0.0
221,1,0.0,0.0,28.65,1.0,7.0,16.0,14.0
222,2,0.0,0.0,28.22,1.0,10.0,14.0,5.0
223,2,0.0,0.0,27.93,2.0,7.0,27.0,4.0
224,10,0.0,0.0,29.64,2.0,4.0,14.0,22.0
225,27,0.0,0.0,34.09,10.0,2.0,7.0,33.0
226,103,0.0,0.0,34.32,27.0,0.0,10.0,93.0
