,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
1015,3,0.0,0.0,29.4,1.0,45.0,42.0,3.0
1016,3,0.0,0.0,31.52,3.0,29.0,55.0,3.0
1017,3,0.0,0.0,33.72,3.0,7.0,61.0,8.0
1018,12,0.0,0.0,34.53,3.0,1.0,92.0,9.0
1019,22,0.0,0.0,34.26,12.0,0.0,45.0,11.0
1020,25,0.0,0.0,35.02,22.0,2.0,29.0,19.0
1021,33,0.0,0.0,36.61,25.0,6.0,7.0,20.0
1022,26,0.0,0.0,36.54,33.0,1.0,1.0,34.0
1023,34,0.0,0.0,36.64,26.0,3.0,0.0,26.0
1024,37,0.0,0.0,35.16,34.0,3.0,2.0,28.0
1025,47,0.0,0.0,35.79,37.0,3.0,6.0,39.0
1026,62,0.0,0.0,35.34,47.0,12.0,1.0,34.0
1027,78,0.0,0.0,33.34,62.0,22.0,3.0,42.0
1028,78,0.0,0.0,32.0,78.0,25.0,3.0,55.0
1029,58,0.0,0.0,31.53,78.0,33.0,3.0,61.0
1030,51,0.0,0.0,30.73,58.0,26.0,12.0,92.0
1031,22,0.0,0.0,30.1,51.0,34.0,22.0,45.0
1032,8,0.0,0.0,29.61,22.0,37.0,25.0,29.0
1033,1,0.0,0.0,29.44,8.0,47.0,33.0,7.0
1034,1,0.0,0.0,29.19,1.0,62.0,26.0,1.0
1035,1,0.0,0.0,28.94,1.0,78.0,34.0,0.0
1036,1,0.0,0.0,28.76,1.0,78.0,37.0,2.0
1037,5,0.0,0.0,28.74,1.0,58.0,47.0,6.0
1038,4,0.0,0.0,28.64,5.0,51.0,62.0,1.0
1039,3,0.0,0.0,29.67,4.0,22.0,78.0,3.0
1040,3,0.0,0.0,30.53,3.0,8.0,78.0,3.0
1041,5,0.0,0.0,33.66,3.0,1.0,58.0,3.0
1042,17,0.0,0.0,34.0,5.0,1.0,51.0,12.0
1043,26,0.0,0.0,35.32,17.0,1.0,22.0,22.0
1044,27,0.0,0.0,35.78,26.0,1.0,8.0,25.0
