,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
123,1,0.0,0.0,29.64,5.0,194.0,15.0,0.0
124,2,0.0,0.0,29.83,1.0,179.0,28.0,1.0
125,6,0.0,0.0,29.53,2.0,103.0,24.0,4.0
126,10,0.0,0.0,29.59,6.0,42.0,89.0,0.0
127,0,0.0,0.0,29.51,10.0,23.0,194.0,0.0
128,2,0.0,0.0,31.21,0.0,8.0,179.0,0.0
129,4,0.0,0.0,32.96,2.0,4.0,103.0,3.0
130,7,0.0,0.0,34.41,4.0,5.0,42.0,17.0
131,6,0.0,0.0,35.6,7.0,1.0,23.0,5.0
132,6,0.0,0.0,37.57,6.0,2.0,8.0,7.0
133,18,0.0,0.0,37.67,6.0,6.0,4.0,8.0
134,11,0.0,0.0,38.96,18.0,10.0,5.0,7.0
135,12,0.0,0.0,39.4,11.0,0.0,1.0,15.0
136,42,0.0,0.0,38.44,12.0,2.0,2.0,28.0
137,36,0.0,0.0,37.8,42.0,4.0,6.0,24.0
138,71,0.0,0.0,36.01,36.0,7.0,10.0,89.0
139,99,0.0,0.0,33.35,71.0,6.0,0.0,194.0
140,83,0.0,0.0,32.26,99.0,6.0,2.0,179.0
141,22,0.0,0.0,31.35,83.0,18.0,4.0,103.0
142,8,0.0,0.0,30.22,22.0,11.0,7.0,42.0
143,20,0.0,0.0,29.96,8.0,12.0,6.0,23.0
144,4,0.0,0.0,29.59,20.0,42.0,6.0,8.0
145,6,0.0,0.0,29.43,4.0,36.0,18.0,4.0
146,2,0.0,0.0,29.49,6.0,71.0,11.0,5.0
147,2,0.0,0.0,29.26,2.0,99.0,12.0,1.0
148,0,0.0,0.0,29.2,2.0,83.0,42.0,2.0
149,0,0.0,0.0,29.19,0.0,22.0,36.0,6.0
150,3,0.0,0.0,29.14,0.0,8.0,71.0,10.0
151,0,0.0,0.0,29.72,3.0,20.0,99.0,0.0
152,0,0.0,0.0,30.69,0.0,4.0,83.0,2.0
153,0,0.0,0.0,28.98,0.0,6.0,22.0,4.0
154,0,0.0,0.0,28.78,0.0,2.0,8.0,7.0
155,1,0.0,0.0,28.69,0.0,2.0,20.0,6.0
156,2,0.0,0.0,28.92,1.0,0.0,4.0,6.0
157,2,0.0,0.0,28.78,2.0,0.0,6.0,18.0
158,7,0.0,0.0,28.6,2.0,3.0,2.0,11.0
159,3,0.0,0.0,26.96,7.0,0.0,2.0,12.0
160,2,0.0,0.0,30.23,3.0,0.0,0.0,42.0
