,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
488,7,0.0,0.0,31.87,0.0,13.0,23.0,4.0
489,5,0.0,0.0,33.55,7.0,27.0,58.0,7.0
490,15,0.0,0.0,36.35,5.0,3.0,67.0,40.0
491,12,0.0,0.0,39.69,15.0,3.0,9.0,25.0
492,17,0.0,0.0,41.16,12.0,1.0,13.0,30.0
493,20,0.0,0.0,41.9,17.0,0.0,27.0,28.0
494,26,0.0,0.0,42.77,20.0,3.0,3.0,19.0
495,19,0.0,0.0,43.84,26.0,0.0,3.0,12.0
496,16,0.0,0.0,42.83,19.0,7.0,1.0,6.0
497,22,0.0,0.0,41.83,16.0,5.0,0.0,16.0
498,22,0.0,0.0,39.52,22.0,15.0,3.0,8.0
499,22,0.0,0.0,37.61,22.0,12.0,0.0,22.0
500,28,0.0,0.0,35.06,22.0,17.0,7.0,23.0
501,113,0.0,0.0,34.0,28.0,20.0,5.0,58.0
502,57,0.0,0.0,32.45,113.0,26.0,15.0,67.0
503,33,0.0,0.0,31.88,57.0,19.0,12.0,9.0
504,20,0.0,0.0,31.82,33.0,16.0,17.0,13.0
505,34,0.0,0.0,31.37,20.0,22.0,20.0,27.0
506,10,0.0,0.0,31.35,34.0,22.0,26.0,3.0
507,2,0.0,0.0,30.98,10.0,22.0,19.0,3.0
508,4,0.0,0.0,31.25,2.0,28.0,16.0,1.0
509,4,0.0,0.0,31.51,4.0,113.0,22.0,0.0
510,13,0.0,0.0,31.0,4.0,57.0,22.0,3.0
511,7,0.0,0.0,31.2,13.0,33.0,22.0,0.0
512,17,0.0,0.0,31.89,7.0,20.0,28.0,7.0
513,56,0.0,0.0,33.67,17.0,34.0,113.0,5.0
514,106,0.0,0.0,35.48,56.0,10.0,57.0,15.0
515,70,0.0,0.0,37.07,106.0,2.0,33.0,12.0
516,74,0.0,0.0,38.8,70.0,4.0,20.0,17.0
517,56,0.0,0.0,39.87,74.0,4.0,34.0,20.0
518,44,0.0,0.0,40.74,56.0,13.0,10.0,26.0
519,40,0.0,0.0,40.84,44.0,7.0,2.0,19.0
520,32,0.0,0.0,40.78,40.0,17.0,4.0,16.0
521,30,0.0,0.0,40.72,32.0,56.0,4.0,22.0
522,29,0.0,0.0,38.77,30.0,106.0,13.0,22.0
523,38,0.0,0.0,37.83,29.0,70.0,7.0,22.0
524,63,0.0,0.0,36.7,38.0,74.0,17.0,28.0
525,46,0.0,0.0,35.97,63.0,56.0,56.0,113.0
526,48,0.0,0.0,35.66,46.0,44.0,106.0,57.0
527,40,0.0,0.0,34.7,48.0,40.0,70.0,33.0
528,40,0.0,0.0,32.25,40.0,32.0,74.0,20.0
529,26,0.0,0.0,32.94,40.0,30.0,56.0,34.0
530,8,0.0,0.0,32.95,26.0,29.0,44.0,10.0
531,1,0.0,0.0,32.61,8.0,38.0,40.0,2.0
532,1,0.0,0.0,31.86,1.0,63.0,32.0,4.0
533,5,0.0,0.0,31.55,1.0,46.0,30.0,4.0
534,8,0.0,0.0,31.16,5.0,48.0,29.0,13.0
535,6,0.0,0.0,31.08,8.0,40.0,38.0,7.0
536,11,0.0,0.0,34.21,6.0,40.0,63.0,17.0
537,33,0.0,0.0,35.92,11.0,26.0,46.0,56.0
538,62,0.0,0.0,36.44,33.0,8.0,48.0,106.0
539,57,0.0,0.0,37.2,62.0,1.0,40.0,70.0
540,80,0.0,0.0,38.73,57.0,1.0,40.0,74.0
541,57,0.0,0.0,39.22,80.0,5.0,26.0,56.0
542,46,0.0,0.0,39.55,57.0,8.0,8.0,44.0
543,30,0.0,0.0,39.52,46.0,6.0,1.0,40.0
544,23,0.0,0.0,39.03,30.0,11.0,1.0,32.0
545,32,0.0,0.0,38.67,23.0,33.0,5.0,30.0
546,30,0.0,0.0,39.11,32.0,62.0,8.0,29.0
547,42,0.0,0.0,37.02,30.0,57.0,6.0,38.0
548,38,0.0,0.0,35.92,42.0,80.0,11.0,63.0
549,58,0.0,0.0,35.59,38.0,57.0,33.0,46.0
550,55,0.0,0.0,34.6,58.0,46.0,62.0,48.0
551,31,0.0,0.0,33.08,55.0,30.0,57.0,40.0
552,53,0.0,0.0,32.26,31.0,23.0,80.0,40.0
553,32,0.0,0.0,32.31,53.0,32.0,57.0,26.0
554,17,0.0,0.0,32.17,32.0,30.0,46.0,8.0
558,11,0.0,0.0,30.63,6.0,55.0,30.0,8.0
559,2,0.0,0.0,30.71,11.0,31.0,42.0,6.0
560,17,0.0,0.0,32.57,2.0,53.0,38.0,11.0
561,36,0.0,0.0,34.41,17.0,32.0,58.0,33.0
562,62,0.0,0.0,36.02,36.0,17.0,55.0,62.0
563,77,0.0,0.0,38.01,62.0,3.0,31.0,57.0
564,63,0.0,0.0,39.42,77.0,0.0,53.0,80.0
565,50,0.0,0.0,40.54,63.0,6.0,32.0,57.0
566,34,0.0,0.0,41.61,50.0,11.0,17.0,46.0
567,34,0.0,0.0,42.09,34.0,2.0,3.0,30.0
568,21,0.0,0.0,41.52,34.0,17.0,0.0,23.0
569,34,0.0,0.0,41.9,21.0,36.0,6.0,32.0
570,24,0.0,0.0,40.9,34.0,62.0,11.0,30.0
571,50,0.0,0.0,38.61,24.0,77.0,2.0,42.0
572,68,0.0,0.0,36.01,50.0,63.0,17.0,38.0
573,82,0.0,0.0,34.59,68.0,50.0,36.0,58.0
574,56,0.0,0.0,33.5,82.0,34.0,62.0,55.0
575,51,0.0,0.0,33.0,56.0,34.0,77.0,31.0
576,64,0.0,0.0,32.88,51.0,21.0,63.0,53.0
577,50,0.0,0.0,32.16,64.0,34.0,50.0,32.0
578,12,0.0,0.0,32.12,50.0,24.0,34.0,17.0
579,3,0.0,0.0,31.56,12.0,50.0,34.0,3.0
580,5,0.0,0.0,31.32,3.0,68.0,21.0,0.0
581,2,0.0,0.0,30.71,5.0,82.0,34.0,6.0
582,7,0.0,0.0,30.52,2.0,56.0,24.0,11.0
583,6,0.0,0.0,31.02,7.0,51.0,50.0,2.0
584,17,0.0,0.0,33.18,6.0,64.0,68.0,17.0
585,44,0.0,0.0,35.59,17.0,50.0,82.0,36.0
586,76,0.0,0.0,38.01,44.0,12.0,56.0,62.0
587,75,0.0,0.0,39.49,76.0,3.0,51.0,77.0
588,80,0.0,0.0,40.53,75.0,5.0,64.0,63.0
589,47,0.0,0.0,41.4,80.0,2.0,50.0,50.0
590,43,0.0,0.0,42.21,47.0,7.0,12.0,34.0
591,37,0.0,0.0,42.3,43.0,6.0,3.0,34.0
592,39,0.0,0.0,43.42,37.0,17.0,5.0,21.0
