,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
111,21,0.0,0.0,39.54,30.0,2.0,0.0,22.0
112,35,0.0,0.0,39.69,21.0,7.0,1.0,43.0
113,41,0.0,0.0,38.21,35.0,16.0,0.0,60.0
114,103,0.0,0.0,36.11,41.0,25.0,6.0,69.0
115,91,0.0,0.0,34.54,103.0,32.0,2.0,85.0
116,90,0.0,0.0,34.29,91.0,39.0,7.0,81.0
117,80,0.0,0.0,31.05,90.0,49.0,16.0,63.0
118,69,0.0,0.0,30.82,80.0,30.0,25.0,17.0
119,12,0.0,0.0,30.22,69.0,21.0,32.0,10.0
120,4,0.0,0.0,30.07,12.0,35.0,39.0,2.0
121,5,0.0,0.0,29.99,4.0,41.0,49.0,4.0
122,0,0.0,0.0,29.89,5.0,103.0,30.0,4.0
123,0,0.0,0.0,29.64,0.0,91.0,21.0,0.0
124,1,0.0,0.0,29.83,0.0,90.0,35.0,1.0
125,2,0.0,0.0,29.53,1.0,80.0,41.0,0.0
126,2,0.0,0.0,29.59,2.0,69.0,103.0,6.0
127,5,0.0,0.0,29.51,2.0,12.0,91.0,2.0
128,10,0.0,0.0,31.21,5.0,4.0,90.0,7.0
129,6,0.0,0.0,32.96,10.0,5.0,80.0,16.0
130,17,0.0,0.0,34.41,6.0,0.0,69.0,25.0
131,10,0.0,0.0,35.6,17.0,0.0,12.0,32.0
132,17,0.0,0.0,37.57,10.0,1.0,4.0,39.0
133,19,0.0,0.0,37.67,17.0,2.0,5.0,49.0
134,16,0.0,0.0,38.96,19.0,2.0,0.0,30.0
135,38,0.0,0.0,39.4,16.0,5.0,0.0,21.0
136,73,0.0,0.0,38.44,38.0,10.0,1.0,35.0
137,50,0.0,0.0,37.8,73.0,6.0,2.0,41.0
138,81,0.0,0.0,36.01,50.0,17.0,2.0,103.0
139,103,0.0,0.0,33.35,81.0,10.0,5.0,91.0
140,126,0.0,0.0,32.26,103.0,17.0,10.0,90.0
141,120,0.0,0.0,31.35,126.0,19.0,6.0,80.0
142,75,0.0,0.0,30.22,120.0,16.0,17.0,69.0
143,60,0.0,0.0,29.96,75.0,38.0,10.0,12.0
144,5,0.0,0.0,29.59,60.0,73.0,17.0,4.0
145,3,0.0,0.0,29.43,5.0,50.0,19.0,5.0
146,1,0.0,0.0,29.49,3.0,81.0,16.0,0.0
147,3,0.0,0.0,29.26,1.0,103.0,38.0,0.0
148,2,0.0,0.0,29.2,3.0,126.0,73.0,1.0
149,3,0.0,0.0,29.19,2.0,120.0,50.0,2.0
150,3,0.0,0.0,29.14,3.0,75.0,81.0,2.0
151,3,0.0,0.0,29.72,3.0,60.0,103.0,5.0
152,2,0.0,0.0,30.69,3.0,5.0,126.0,10.0
153,3,0.0,0.0,28.98,2.0,3.0,120.0,6.0
154,8,0.0,0.0,28.78,3.0,1.0,75.0,17.0
155,13,0.0,0.0,28.69,8.0,3.0,60.0,10.0
156,22,0.0,0.0,28.92,13.0,2.0,5.0,17.0
157,13,0.0,0.0,28.78,22.0,3.0,3.0,19.0
158,22,0.0,0.0,28.6,13.0,3.0,1.0,16.0
159,12,0.0,0.0,26.96,22.0,3.0,3.0,38.0
160,21,0.0,0.0,30.23,12.0,2.0,2.0,73.0
161,21,0.0,0.0,30.3,21.0,3.0,3.0,50.0
162,34,0.0,0.0,29.69,21.0,8.0,3.0,81.0
163,48,0.0,0.0,29.33,34.0,13.0,3.0,103.0
164,58,0.0,0.0,28.69,48.0,22.0,2.0,126.0
165,31,0.0,0.0,28.41,58.0,13.0,3.0,120.0
166,26,0.0,0.0,28.74,31.0,22.0,8.0,75.0
167,23,0.0,0.0,28.91,26.0,12.0,13.0,60.0
168,4,0.0,0.0,28.59,23.0,21.0,22.0,5.0
169,8,0.0,0.0,28.38,4.0,21.0,13.0,3.0
170,3,0.0,0.0,28.2,8.0,34.0,22.0,1.0
171,1,0.0,0.0,27.87,3.0,48.0,12.0,3.0
172,3,0.0,0.0,27.66,1.0,58.0,21.0,2.0
173,2,0.0,0.0,27.59,3.0,31.0,21.0,3.0
174,6,0.0,0.0,27.44,2.0,26.0,34.0,3.0
175,5,0.0,0.0,26.94,6.0,23.0,48.0,3.0
176,5,0.0,0.0,27.77,5.0,4.0,58.0,2.0
177,12,0.0,0.0,29.51,5.0,8.0,31.0,3.0
178,42,0.0,0.0,30.08,12.0,3.0,26.0,8.0
179,32,0.0,0.0,31.71,42.0,1.0,23.0,13.0
180,33,0.0,0.0,32.1,32.0,3.0,4.0,22.0
181,23,0.0,0.0,34.63,33.0,2.0,8.0,13.0
182,16,0.0,0.0,34.09,23.0,6.0,3.0,22.0
183,13,0.0,0.0,35.69,16.0,5.0,1.0,12.0
184,26,0.0,0.0,33.28,13.0,5.0,3.0,21.0
185,37,0.0,0.0,30.42,26.0,12.0,2.0,21.0
186,65,0.0,0.0,30.68,37.0,42.0,6.0,34.0
187,84,0.0,0.0,28.92,65.0,32.0,5.0,48.0
188,113,0.0,0.0,28.8,84.0,33.0,5.0,58.0
189,67,0.0,0.0,28.46,113.0,23.0,12.0,31.0
