,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
1076,789,0.0,0.0,32.9,847.0,672.0,107.0,648.0
1077,617,0.0,0.0,32.18,789.0,589.0,336.0,434.0
1078,370,0.0,0.0,31.35,617.0,505.0,609.0,360.0
1079,254,0.0,0.0,30.76,370.0,474.0,731.0,196.0
1080,151,0.0,0.0,30.28,254.0,409.0,672.0,75.0
1081,51,0.0,0.0,29.99,151.0,552.0,589.0,58.0
1082,22,0.0,0.0,30.05,51.0,602.0,505.0,14.0
1083,23,0.0,0.0,30.09,22.0,847.0,474.0,13.0
1084,22,0.0,0.0,30.02,23.0,789.0,409.0,16.0
1085,36,0.0,0.0,29.92,22.0,617.0,552.0,40.0
1086,59,0.0,0.0,29.75,36.0,370.0,602.0,55.0
1087,68,0.0,0.0,30.85,59.0,254.0,847.0,43.0
1088,98,0.0,0.0,31.05,68.0,151.0,789.0,107.0
1089,309,0.0,0.0,32.22,98.0,51.0,617.0,336.0
1090,599,0.0,0.0,34.97,309.0,22.0,370.0,609.0
1091,664,0.0,0.0,34.68,599.0,23.0,254.0,731.0
1092,606,0.0,0.0,36.74,664.0,22.0,151.0,672.0
1093,487,0.0,0.0,37.71,606.0,36.0,51.0,589.0
1094,487,0.0,0.0,38.25,487.0,59.0,22.0,505.0
1095,412,0.0,0.0,38.95,487.0,68.0,23.0,474.0
1096,402,0.0,0.0,38.68,412.0,98.0,22.0,409.0
1097,509,0.0,0.0,38.38,402.0,309.0,36.0,552.0
1098,551,0.0,0.0,37.13,509.0,599.0,59.0,602.0
1099,722,0.0,0.0,35.16,551.0,664.0,68.0,847.0
1100,723,0.0,0.0,33.68,722.0,606.0,98.0,789.0
1101,486,0.0,0.0,32.7,723.0,487.0,309.0,617.0
1102,379,0.0,0.0,32.03,486.0,487.0,599.0,370.0
1103,228,0.0,0.0,31.58,379.0,412.0,664.0,254.0
1104,139,0.0,0.0,30.82,228.0,402.0,606.0,151.0
1105,66,0.0,0.0,30.51,139.0,509.0,487.0,51.0
1106,34,0.0,0.0,30.44,66.0,551.0,487.0,22.0
1107,25,0.0,0.0,30.57,34.0,722.0,412.0,23.0
1108,19,0.0,0.0,30.47,25.0,723.0,402.0,22.0
1109,45,0.0,0.0,30.12,19.0,486.0,509.0,36.0
1110,51,0.0,0.0,30.11,45.0,379.0,551.0,59.0
1111,68,0.0,0.0,30.67,51.0,228.0,722.0,68.0
1112,102,0.0,0.0,31.88,68.0,139.0,723.0,98.0
1113,314,0.0,0.0,33.12,102.0,66.0,486.0,309.0
1114,640,0.0,0.0,34.66,314.0,34.0,379.0,599.0
